Country,Code,Continent region,Year,High systolic blood pressure,Diet high in sodium,High fasting plasma glucose,Population,Total Death Rate
Sierra Leone,SLE,Africa,2019,6471,530,2495,8046828,41403
Singapore,SGP,Asia,2019,3475,870,2350,5703569,16423
Slovenia,SVN,Europe,2019,4586,1397,2020,2088385,18849
Solomon Islands,SLB,Oceania,2019,951,176,1192,674993,8419
Somalia,SOM,Africa,2019,11498,1917,6693,15981300,109541
South Africa,ZAF,Africa,2019,61473,3290,54459,58087055,346018
South Sudan,SSD,Africa,2019,4697,751,2689,10447666,39825
Spain,ESP,Europe,2019,72106,2913,54535,47134837,319980
Sri Lanka,LKA,Asia,2019,29938,6051,31714,21803000,147936
Sudan,SDN,Africa,2019,50501,1730,26177,43232093,220694
Suriname,SUR,South America,2019,829,74,845,600301,4240
Sweden,SWE,Europe,2019,19501,1495,11975,10278887,73216
Switzerland,CHE,Europe,2019,12571,978,7841,8575280,53783
Tajikistan,TJK,Asia,2019,13064,1649,8016,9337003,58568
Tanzania,TZA,Africa,2019,38944,8061,18757,59872579,243035
Thailand,THA,Asia,2019,69032,14894,65179,71307763,430315
Togo,TGO,Africa,2019,5729,503,2394,8243094,37193
Tonga,TON,Oceania,2019,116,20,159,104951,735
Trinidad and Tobago,TTO,North America,2019,2697,209,3448,1519955,14279
Tunisia,TUN,Africa,2019,19680,692,14656,12049314,85516
Turkmenistan,TKM,Asia,2019,11339,1354,4701,6158420,46117
Tuvalu,TUV,Oceania,2019,25,4,28,10956,124
Uganda,UGA,Africa,2019,18453,2932,12290,42949080,136163
Ukraine,UKR,Europe,2019,237926,13637,70344,44386203,856572
United Arab Emirates,ARE,Asia,2019,5983,293,4276,9211657,34788
United Kingdom,GBR,Europe,2019,87762,6668,75454,66836327,481831
United States,USA,North America,2019,495201,48501,439379,328329953,2549358
Uruguay,URY,South America,2019,5527,751,3283,3428409,25129
Uzbekistan,UZB,Asia,2019,62465,7416,41043,33580350,290223
Vanuatu,VUT,Oceania,2019,596,86,432,304404,2975
Vietnam,VNM,Asia,2019,158375,32155,106478,95776716,706638
Zambia,ZMB,Africa,2019,10340,1828,6353,18380477,72280
Zimbabwe,ZWE,Africa,2019,12241,1140,9797,15354608,81732
