Country,Code,Continent region,Year,Environmental factor,Death rate
Brazil,BRA,South America,2019,Secondhand smoke,13.12098516
Brazil,BRA,South America,2019,Air pollution from solid fuels,6.618098749
Bulgaria,BGR,Europe,2019,Outdoor air pollution,132.2579716
Bulgaria,BGR,Europe,2019,Unsafe water source,0.129018182
Bulgaria,BGR,Europe,2019,Secondhand smoke,43.33577369
Bulgaria,BGR,Europe,2019,Air pollution from solid fuels,25.97566058
Burkina Faso,BFA,Africa,2019,Outdoor air pollution,16.70036411
Burkina Faso,BFA,Africa,2019,Unsafe water source,61.79946113
Burkina Faso,BFA,Africa,2019,Secondhand smoke,7.923007837
Burkina Faso,BFA,Africa,2019,Air pollution from solid fuels,115.9956985
Burundi,BDI,Africa,2019,Outdoor air pollution,9.195914925
Burundi,BDI,Africa,2019,Unsafe water source,68.18619336
Burundi,BDI,Africa,2019,Secondhand smoke,3.18320132
Burundi,BDI,Africa,2019,Air pollution from solid fuels,84.24535981
Cambodia,KHM,Asia,2019,Outdoor air pollution,22.60030482
Cambodia,KHM,Asia,2019,Unsafe water source,8.22446255
Cambodia,KHM,Asia,2019,Secondhand smoke,20.81720678
Cambodia,KHM,Asia,2019,Air pollution from solid fuels,86.58822763
Cameroon,CMR,Africa,2019,Outdoor air pollution,40.65573409
Cameroon,CMR,Africa,2019,Unsafe water source,58.68357726
Cameroon,CMR,Africa,2019,Secondhand smoke,5.28268554
Cameroon,CMR,Africa,2019,Air pollution from solid fuels,46.80723135
Canada,CAN,North America,2019,Outdoor air pollution,11.68312845
Canada,CAN,North America,2019,Unsafe water source,0.156909761
Canada,CAN,North America,2019,Secondhand smoke,8.624717862
Canada,CAN,North America,2019,Air pollution from solid fuels,0.0212759
Central African Republic,CAF,Africa,2019,Outdoor air pollution,19.71465012
Central African Republic,CAF,Africa,2019,Unsafe water source,141.4003045
Central African Republic,CAF,Africa,2019,Secondhand smoke,7.524968691
Central African Republic,CAF,Africa,2019,Air pollution from solid fuels,133.6257833
Chad,TCD,Africa,2019,Outdoor air pollution,16.95307693
Chad,TCD,Africa,2019,Unsafe water source,164.055434
Chad,TCD,Africa,2019,Secondhand smoke,8.067283501
Chad,TCD,Africa,2019,Air pollution from solid fuels,118.2250786
Chile,CHL,South America,2019,Outdoor air pollution,31.17206164
Chile,CHL,South America,2019,Unsafe water source,0.582998962
Chile,CHL,South America,2019,Secondhand smoke,12.21146475
Chile,CHL,South America,2019,Air pollution from solid fuels,1.733240159
China,CHN,Asia,2019,Outdoor air pollution,107.7541742
China,CHN,Asia,2019,Unsafe water source,0.232286387
China,CHN,Asia,2019,Secondhand smoke,29.55464235
China,CHN,Asia,2019,Air pollution from solid fuels,25.78798007
Colombia,COL,South America,2019,Outdoor air pollution,26.51262749
Colombia,COL,South America,2019,Unsafe water source,1.052056765
Colombia,COL,South America,2019,Secondhand smoke,7.08544291
Colombia,COL,South America,2019,Air pollution from solid fuels,4.889672919
Comoros,COM,Africa,2019,Outdoor air pollution,12.01032635
Comoros,COM,Africa,2019,Unsafe water source,28.57193427
Comoros,COM,Africa,2019,Secondhand smoke,9.355412106
Comoros,COM,Africa,2019,Air pollution from solid fuels,69.78631733
Costa Rica,CRI,North America,2019,Outdoor air pollution,19.0381337
Costa Rica,CRI,North America,2019,Unsafe water source,1.081712142
Costa Rica,CRI,North America,2019,Secondhand smoke,6.332932903
Costa Rica,CRI,North America,2019,Air pollution from solid fuels,2.045419323
Cote d'Ivoire,CIV,Africa,2019,Outdoor air pollution,26.26632223
Cote d'Ivoire,CIV,Africa,2019,Unsafe water source,23.76513196
Cote d'Ivoire,CIV,Africa,2019,Secondhand smoke,8.995106272
Cote d'Ivoire,CIV,Africa,2019,Air pollution from solid fuels,62.19320502
Croatia,HRV,Europe,2019,Outdoor air pollution,79.7982315
Croatia,HRV,Europe,2019,Unsafe water source,0.19678972
Croatia,HRV,Europe,2019,Secondhand smoke,36.89807252
Croatia,HRV,Europe,2019,Air pollution from solid fuels,4.157182837
Cuba,CUB,North America,2019,Outdoor air pollution,52.65670716
Cuba,CUB,North America,2019,Unsafe water source,1.758463622
Cuba,CUB,North America,2019,Secondhand smoke,19.23706184
Cuba,CUB,North America,2019,Air pollution from solid fuels,1.767300123
Cyprus,CYP,Asia,2019,Outdoor air pollution,37.59655479
Cyprus,CYP,Asia,2019,Unsafe water source,0.081377824
Cyprus,CYP,Asia,2019,Secondhand smoke,13.02045187
Cyprus,CYP,Asia,2019,Air pollution from solid fuels,0.081377824
Czechia,CZE,Europe,2019,Outdoor air pollution,61.48875502
Czechia,CZE,Europe,2019,Unsafe water source,0.534114452
