Country,Code,Continent region,Year,Environmental factor,Death rate
Mozambique,MOZ,Africa,2019,Unsafe water source,25.21991065
Mozambique,MOZ,Africa,2019,Secondhand smoke,4.40143243
Mozambique,MOZ,Africa,2019,Air pollution from solid fuels,82.60362724
Myanmar,MMR,Asia,2019,Outdoor air pollution,49.29844549
Myanmar,MMR,Asia,2019,Unsafe water source,10.44679082
Myanmar,MMR,Asia,2019,Secondhand smoke,20.52593606
Myanmar,MMR,Asia,2019,Air pollution from solid fuels,92.80317356
Namibia,NAM,Africa,2019,Outdoor air pollution,33.80140306
Namibia,NAM,Africa,2019,Unsafe water source,22.52064461
Namibia,NAM,Africa,2019,Secondhand smoke,9.318887423
Namibia,NAM,Africa,2019,Air pollution from solid fuels,31.67604278
Nauru,NRU,Oceania,2019,Outdoor air pollution,8.242664029
Nauru,NRU,Oceania,2019,Unsafe water source,0
Nauru,NRU,Oceania,2019,Secondhand smoke,24.72799209
Nauru,NRU,Oceania,2019,Air pollution from solid fuels,0
Nepal,NPL,Asia,2019,Outdoor air pollution,83.1492355
Nepal,NPL,Asia,2019,Unsafe water source,16.31839297
Nepal,NPL,Asia,2019,Secondhand smoke,15.3854179
Nepal,NPL,Asia,2019,Air pollution from solid fuels,74.9258753
Netherlands,NLD,Europe,2019,Outdoor air pollution,28.81542985
Netherlands,NLD,Europe,2019,Unsafe water source,0.057653921
Netherlands,NLD,Europe,2019,Secondhand smoke,10.37194044
Netherlands,NLD,Europe,2019,Air pollution from solid fuels,0.034592353
New Zealand,NZL,Oceania,2019,Outdoor air pollution,6.687821337
New Zealand,NZL,Oceania,2019,Unsafe water source,0.261086118
New Zealand,NZL,Oceania,2019,Secondhand smoke,6.968991003
New Zealand,NZL,Oceania,2019,Air pollution from solid fuels,0.060250643
Nicaragua,NIC,North America,2019,Outdoor air pollution,15.51638344
Nicaragua,NIC,North America,2019,Unsafe water source,2.040839601
Nicaragua,NIC,North America,2019,Secondhand smoke,7.262987993
Nicaragua,NIC,North America,2019,Air pollution from solid fuels,26.03571109
Niger,NER,Africa,2019,Outdoor air pollution,13.3427785
Niger,NER,Africa,2019,Unsafe water source,105.428425
Niger,NER,Africa,2019,Secondhand smoke,6.095534038
Niger,NER,Africa,2019,Air pollution from solid fuels,113.0681041
Nigeria,NGA,Africa,2019,Outdoor air pollution,34.52014233
Nigeria,NGA,Africa,2019,Unsafe water source,77.36769535
Nigeria,NGA,Africa,2019,Secondhand smoke,4.87790501
Nigeria,NGA,Africa,2019,Air pollution from solid fuels,63.08714517
North Macedonia,MKD,Europe,2019,Outdoor air pollution,133.4332357
North Macedonia,MKD,Europe,2019,Unsafe water source,0.096306919
North Macedonia,MKD,Europe,2019,Secondhand smoke,42.85657877
North Macedonia,MKD,Europe,2019,Air pollution from solid fuels,25.76210072
Northern Mariana Islands,MNP,Oceania,2019,Outdoor air pollution,22.06265795
Northern Mariana Islands,MNP,Oceania,2019,Unsafe water source,2.005696177
Northern Mariana Islands,MNP,Oceania,2019,Secondhand smoke,24.06835413
Northern Mariana Islands,MNP,Oceania,2019,Air pollution from solid fuels,10.02848089
Norway,NOR,Europe,2019,Outdoor air pollution,8.489319912
Norway,NOR,Europe,2019,Unsafe water source,0.14959154
Norway,NOR,Europe,2019,Secondhand smoke,8.059244234
Norway,NOR,Europe,2019,Air pollution from solid fuels,0.018698943
Oman,OMN,Asia,2019,Outdoor air pollution,34.24026586
Oman,OMN,Asia,2019,Unsafe water source,0.456247197
Oman,OMN,Asia,2019,Secondhand smoke,6.62644739
Oman,OMN,Asia,2019,Air pollution from solid fuels,0.130356342
Pakistan,PAK,Asia,2019,Outdoor air pollution,55.94122671
Pakistan,PAK,Asia,2019,Unsafe water source,29.31346613
Pakistan,PAK,Asia,2019,Secondhand smoke,13.84681169
Pakistan,PAK,Asia,2019,Air pollution from solid fuels,51.98992106
Palau,PLW,Oceania,2019,Outdoor air pollution,27.90801518
Palau,PLW,Oceania,2019,Unsafe water source,5.581603036
Palau,PLW,Oceania,2019,Secondhand smoke,61.3976334
Palau,PLW,Oceania,2019,Air pollution from solid fuels,0
Panama,PAN,North America,2019,Outdoor air pollution,15.87702113
Panama,PAN,North America,2019,Unsafe water source,2.622543669
Panama,PAN,North America,2019,Secondhand smoke,4.678050869
Panama,PAN,North America,2019,Air pollution from solid fuels,3.638484009
Papua New Guinea,PNG,Oceania,2019,Outdoor air pollution,12.39718874
Papua New Guinea,PNG,Oceania,2019,Unsafe water source,27.45615765
Papua New Guinea,PNG,Oceania,2019,Secondhand smoke,27.04745912
Papua New Guinea,PNG,Oceania,2019,Air pollution from solid fuels,117.0449713
Paraguay,PRY,South America,2019,Outdoor air pollution,16.8299483
Paraguay,PRY,South America,2019,Unsafe water source,1.715153967
Paraguay,PRY,South America,2019,Secondhand smoke,10.55125967
Paraguay,PRY,South America,2019,Air pollution from solid fuels,18.2847664
Peru,PER,South America,2019,Outdoor air pollution,27.40910312
Peru,PER,South America,2019,Unsafe water source,2.230017059
Peru,PER,South America,2019,Secondhand smoke,3.6313939
Peru,PER,South America,2019,Air pollution from solid fuels,7.430343726
Philippines,PHL,Asia,2019,Outdoor air pollution,29.11556977
Philippines,PHL,Asia,2019,Unsafe water source,6.028222081
Philippines,PHL,Asia,2019,Secondhand smoke,19.63113079
Philippines,PHL,Asia,2019,Air pollution from solid fuels,38.66161366
Poland,POL,Europe,2019,Outdoor air pollution,74.87328948
Poland,POL,Europe,2019,Unsafe water source,0.200181876
Poland,POL,Europe,2019,Secondhand smoke,20.47649871
Poland,POL,Europe,2019,Air pollution from solid fuels,7.396193515
Portugal,PRT,Europe,2019,Outdoor air pollution,23.2445933
Portugal,PRT,Europe,2019,Unsafe water source,0.233320886
Portugal,PRT,Europe,2019,Secondhand smoke,17.21713707
Portugal,PRT,Europe,2019,Air pollution from solid fuels,0.330537922
Puerto Rico,PRI,North America,2019,Outdoor air pollution,13.58927937
Puerto Rico,PRI,North America,2019,Unsafe water source,2.129195847
Puerto Rico,PRI,North America,2019,Secondhand smoke,12.77517508
Puerto Rico,PRI,North America,2019,Air pollution from solid fuels,0.031311704
Qatar,QAT,Asia,2019,Outdoor air pollution,19.52098773
Qatar,QAT,Asia,2019,Unsafe water source,0.071244481
Qatar,QAT,Asia,2019,Secondhand smoke,4.167802126
Qatar,QAT,Asia,2019,Air pollution from solid fuels,0
Romania,ROU,Europe,2019,Outdoor air pollution,76.0028264
Romania,ROU,Europe,2019,Unsafe water source,0.19616297
Romania,ROU,Europe,2019,Secondhand smoke,32.22751105
Romania,ROU,Europe,2019,Air pollution from solid fuels,12.56475443
Rwanda,RWA,Africa,2019,Outdoor air pollution,14.80324001
Rwanda,RWA,Africa,2019,Unsafe water source,23.8020517
Rwanda,RWA,Africa,2019,Secondhand smoke,4.324104318
Rwanda,RWA,Africa,2019,Air pollution from solid fuels,58.18452441
Samoa,WSM,Oceania,2019,Outdoor air pollution,19.82020245
Samoa,WSM,Oceania,2019,Unsafe water source,3.303367075
Samoa,WSM,Oceania,2019,Secondhand smoke,31.14603242
Samoa,WSM,Oceania,2019,Air pollution from solid fuels,65.59543192
San Marino,SMR,Europe,2019,Outdoor air pollution,20.48101118
San Marino,SMR,Europe,2019,Unsafe water source,0
San Marino,SMR,Europe,2019,Secondhand smoke,8.777576219
San Marino,SMR,Europe,2019,Air pollution from solid fuels,0
Sao Tome and Principe,STP,Africa,2019,Outdoor air pollution,25.62919678
Sao Tome and Principe,STP,Africa,2019,Unsafe water source,4.193868564
Sao Tome and Principe,STP,Africa,2019,Secondhand smoke,2.795912376
Sao Tome and Principe,STP,Africa,2019,Air pollution from solid fuels,40.54072945
Saudi Arabia,SAU,Asia,2019,Outdoor air pollution,50.53400248
Saudi Arabia,SAU,Asia,2019,Unsafe water source,0.421465583
Saudi Arabia,SAU,Asia,2019,Secondhand smoke,11.26792422
Saudi Arabia,SAU,Asia,2019,Air pollution from solid fuels,0.103273024
Senegal,SEN,Africa,2019,Outdoor air pollution,21.66769235
Senegal,SEN,Africa,2019,Unsafe water source,33.42336852
Senegal,SEN,Africa,2019,Secondhand smoke,9.455788439
Senegal,SEN,Africa,2019,Air pollution from solid fuels,56.71598155
Serbia,SRB,Europe,2019,Outdoor air pollution,154.3648271
Serbia,SRB,Europe,2019,Unsafe water source,0.201577052
Serbia,SRB,Europe,2019,Secondhand smoke,50.1062959
Serbia,SRB,Europe,2019,Air pollution from solid fuels,28.35037259
Seychelles,SYC,Africa,2019,Outdoor air pollution,35.85147247
Seychelles,SYC,Africa,2019,Unsafe water source,4.09731114
Seychelles,SYC,Africa,2019,Secondhand smoke,19.46222791
Seychelles,SYC,Africa,2019,Air pollution from solid fuels,0
Sierra Leone,SLE,Africa,2019,Outdoor air pollution,19.77176597
Sierra Leone,SLE,Africa,2019,Unsafe water source,40.38858542
Sierra Leone,SLE,Africa,2019,Secondhand smoke,10.33947787
Sierra Leone,SLE,Africa,2019,Air pollution from solid fuels,97.09415934
Singapore,SGP,Asia,2019,Outdoor air pollution,24.16031085
Singapore,SGP,Asia,2019,Unsafe water source,0.087664408
Singapore,SGP,Asia,2019,Secondhand smoke,5.189732955
Singapore,SGP,Asia,2019,Air pollution from solid fuels,0.035065763
Slovenia,SVN,Europe,2019,Outdoor air pollution,42.42512755
Slovenia,SVN,Europe,2019,Unsafe water source,0.047883891
Slovenia,SVN,Europe,2019,Secondhand smoke,16.47205855
Slovenia,SVN,Europe,2019,Air pollution from solid fuels,2.968801251
Solomon Islands,SLB,Oceania,2019,Outdoor air pollution,16.14831561
Solomon Islands,SLB,Oceania,2019,Unsafe water source,27.11139227
Solomon Islands,SLB,Oceania,2019,Secondhand smoke,40.29671419
Solomon Islands,SLB,Oceania,2019,Air pollution from solid fuels,179.4092679
Somalia,SOM,Africa,2019,Outdoor air pollution,5.324973563
Somalia,SOM,Africa,2019,Unsafe water source,90.41191893
Somalia,SOM,Africa,2019,Secondhand smoke,8.378542421
Somalia,SOM,Africa,2019,Air pollution from solid fuels,172.4077516
South Africa,ZAF,Africa,2019,Outdoor air pollution,43.69476125
South Africa,ZAF,Africa,2019,Unsafe water source,16.36509202
South Africa,ZAF,Africa,2019,Secondhand smoke,12.5621793
South Africa,ZAF,Africa,2019,Air pollution from solid fuels,7.901932711
South Sudan,SSD,Africa,2019,Outdoor air pollution,13.79255424
South Sudan,SSD,Africa,2019,Unsafe water source,57.40038014
South Sudan,SSD,Africa,2019,Secondhand smoke,5.005902754
South Sudan,SSD,Africa,2019,Air pollution from solid fuels,73.49009817
Spain,ESP,Europe,2019,Outdoor air pollution,24.97940112
Spain,ESP,Europe,2019,Unsafe water source,0.110321799
Spain,ESP,Europe,2019,Secondhand smoke,12.00386033
Spain,ESP,Europe,2019,Air pollution from solid fuels,0.377640003
Sri Lanka,LKA,Asia,2019,Outdoor air pollution,34.57322387
Sri Lanka,LKA,Asia,2019,Unsafe water source,3.430720543
Sri Lanka,LKA,Asia,2019,Secondhand smoke,13.88341054
Sri Lanka,LKA,Asia,2019,Air pollution from solid fuels,30.46828418
Sudan,SDN,Africa,2019,Outdoor air pollution,39.3365179
Sudan,SDN,Africa,2019,Unsafe water source,12.67576844
Sudan,SDN,Africa,2019,Secondhand smoke,10.56622449
Sudan,SDN,Africa,2019,Air pollution from solid fuels,26.16112063
Suriname,SUR,South America,2019,Outdoor air pollution,43.47818844
Suriname,SUR,South America,2019,Unsafe water source,4.830909827
Suriname,SUR,South America,2019,Secondhand smoke,15.82539426
Suriname,SUR,South America,2019,Air pollution from solid fuels,7.829405582
Sweden,SWE,Europe,2019,Outdoor air pollution,7.364610585
Sweden,SWE,Europe,2019,Unsafe water source,0.184844916
Sweden,SWE,Europe,2019,Secondhand smoke,7.189494349
Sweden,SWE,Europe,2019,Air pollution from solid fuels,0.029186039
Switzerland,CHE,Europe,2019,Outdoor air pollution,18.90317284
Switzerland,CHE,Europe,2019,Unsafe water source,0.058307134
Switzerland,CHE,Europe,2019,Secondhand smoke,7.894785943
Switzerland,CHE,Europe,2019,Air pollution from solid fuels,0.011661427
Tajikistan,TJK,Asia,2019,Outdoor air pollution,52.37226549
Tajikistan,TJK,Asia,2019,Unsafe water source,5.890541108
Tajikistan,TJK,Asia,2019,Secondhand smoke,14.60854195
Tajikistan,TJK,Asia,2019,Air pollution from solid fuels,27.92116485
Tanzania,TZA,Africa,2019,Outdoor air pollution,10.73446327
Tanzania,TZA,Africa,2019,Unsafe water source,22.05183111
Tanzania,TZA,Africa,2019,Secondhand smoke,6.039492637
Tanzania,TZA,Africa,2019,Air pollution from solid fuels,65.41391845
Thailand,THA,Asia,2019,Outdoor air pollution,47.36090235
Thailand,THA,Asia,2019,Unsafe water source,7.025883002
Thailand,THA,Asia,2019,Secondhand smoke,13.23137847
Thailand,THA,Asia,2019,Air pollution from solid fuels,10.44767033
Togo,TGO,Africa,2019,Outdoor air pollution,20.61119284
Togo,TGO,Africa,2019,Unsafe water source,61.11782784
Togo,TGO,Africa,2019,Secondhand smoke,6.211259995
Togo,TGO,Africa,2019,Air pollution from solid fuels,61.38471792
Tonga,TON,Oceania,2019,Outdoor air pollution,20.00933769
Tonga,TON,Oceania,2019,Unsafe water source,1.905651209
Tonga,TON,Oceania,2019,Secondhand smoke,24.77346571
Tonga,TON,Oceania,2019,Air pollution from solid fuels,29.53759373
Trinidad and Tobago,TTO,North America,2019,Outdoor air pollution,58.62015652
Trinidad and Tobago,TTO,North America,2019,Unsafe water source,1.118454165
Trinidad and Tobago,TTO,North America,2019,Secondhand smoke,18.75055512
Trinidad and Tobago,TTO,North America,2019,Air pollution from solid fuels,0.065791421
Tunisia,TUN,Africa,2019,Outdoor air pollution,62.6840665
Tunisia,TUN,Africa,2019,Unsafe water source,0.630741302
Tunisia,TUN,Africa,2019,Secondhand smoke,19.95964252
Tunisia,TUN,Africa,2019,Air pollution from solid fuels,0.174283781
Turkmenistan,TKM,Asia,2019,Outdoor air pollution,58.58645562
Turkmenistan,TKM,Asia,2019,Unsafe water source,0.763182764
Turkmenistan,TKM,Asia,2019,Secondhand smoke,23.96718639
Turkmenistan,TKM,Asia,2019,Air pollution from solid fuels,0.081189656
Tuvalu,TUV,Oceania,2019,Outdoor air pollution,18.25483753
Tuvalu,TUV,Oceania,2019,Unsafe water source,9.127418766
Tuvalu,TUV,Oceania,2019,Secondhand smoke,45.63709383
Tuvalu,TUV,Oceania,2019,Air pollution from solid fuels,18.25483753
Uganda,UGA,Africa,2019,Outdoor air pollution,11.1946519
Uganda,UGA,Africa,2019,Unsafe water source,21.41838661
Uganda,UGA,Africa,2019,Secondhand smoke,2.849886424
Uganda,UGA,Africa,2019,Air pollution from solid fuels,53.55411571
Ukraine,UKR,Europe,2019,Outdoor air pollution,97.90880288
Ukraine,UKR,Europe,2019,Unsafe water source,0.099129903
Ukraine,UKR,Europe,2019,Secondhand smoke,36.22296775
Ukraine,UKR,Europe,2019,Air pollution from solid fuels,6.146053989
United Arab Emirates,ARE,Asia,2019,Outdoor air pollution,36.92061048
United Arab Emirates,ARE,Asia,2019,Unsafe water source,0.282251065
United Arab Emirates,ARE,Asia,2019,Secondhand smoke,10.17189416
United Arab Emirates,ARE,Asia,2019,Air pollution from solid fuels,0
United Kingdom,GBR,Europe,2019,Outdoor air pollution,22.51769461
United Kingdom,GBR,Europe,2019,Unsafe water source,0.059847693
United Kingdom,GBR,Europe,2019,Secondhand smoke,12.38398394
United Kingdom,GBR,Europe,2019,Air pollution from solid fuels,0.017954308
United States,USA,North America,2019,Outdoor air pollution,18.44851481
United States,USA,North America,2019,Unsafe water source,0.116346376
United States,USA,North America,2019,Secondhand smoke,10.83757351
United States,USA,North America,2019,Air pollution from solid fuels,0.04568575
Uruguay,URY,South America,2019,Outdoor air pollution,22.4302293
Uruguay,URY,South America,2019,Unsafe water source,1.662578765
Uruguay,URY,South America,2019,Secondhand smoke,23.01359027
Uruguay,URY,South America,2019,Air pollution from solid fuels,1.545906571
Uzbekistan,UZB,Asia,2019,Outdoor air pollution,80.37736355
Uzbekistan,UZB,Asia,2019,Unsafe water source,0.256102155
Uzbekistan,UZB,Asia,2019,Secondhand smoke,18.09987091
Uzbekistan,UZB,Asia,2019,Air pollution from solid fuels,9.422176958
Vanuatu,VUT,Oceania,2019,Outdoor air pollution,18.06809372
Vanuatu,VUT,Oceania,2019,Unsafe water source,18.39660451
Vanuatu,VUT,Oceania,2019,Secondhand smoke,21.02469087
Vanuatu,VUT,Oceania,2019,Air pollution from solid fuels,118.5923969
Vietnam,VNM,Asia,2019,Outdoor air pollution,40.48583165
Vietnam,VNM,Asia,2019,Unsafe water source,1.306162972
Vietnam,VNM,Asia,2019,Secondhand smoke,19.92655501
Vietnam,VNM,Asia,2019,Air pollution from solid fuels,34.71302983
Zambia,ZMB,Africa,2019,Outdoor air pollution,16.5828123
Zambia,ZMB,Africa,2019,Unsafe water source,32.1808841
Zambia,ZMB,Africa,2019,Secondhand smoke,4.999870243
Zambia,ZMB,Africa,2019,Air pollution from solid fuels,47.99657811
Zimbabwe,ZWE,Africa,2019,Outdoor air pollution,17.45404376
Zimbabwe,ZWE,Africa,2019,Unsafe water source,25.49071914
Zimbabwe,ZWE,Africa,2019,Secondhand smoke,10.71990897
Zimbabwe,ZWE,Africa,2019,Air pollution from solid fuels,65.25077032
