Country,Code,Continent_Region,Year,Outdoor_air_pollution,Unsafe_water_source,Secondhand_smoke,Household_air_pollution_from_solid_fuels,Air_pollution,Total_Death_Rate,Population,Outdoor_air_pollution_per_100k_people,Unsafe_water_source_per_100k_people,Secondhand_smoke_per_100k_people,Household_air_pollution_from_solid_fuels_per_100k_people,Air_pollution_per_100k_people
Dominican Republic,DOM,North America,2019,3832,450,999,939,4766,65898,10881882,35.2144969,4.135314094,9.180397288,8.629022075,43.79757105
Ecuador,ECU,South America,2019,4295,276,724,476,4762,68009,17343740,24.76397824,1.591352269,4.174416821,2.744506087,27.45659241
El Salvador,SLV,North America,2019,1969,221,374,618,2574,33639,6280217,31.35241983,3.518986685,5.955208236,9.840424304,40.98584492
Equatorial Guinea,GNQ,Africa,2019,403,97,47,84,486,3674,1553031,25.94925665,6.245850856,3.026340105,5.40877806,31.29364449
Eritrea,ERI,Africa,2019,1424,3621,372,3936,5336,28504,3498818,40.69945907,103.4920936,10.63216206,112.4951341,152.5086472
Estonia,EST,Europe,2019,167,1,204,40,207,16275,1326898,12.5857451,0.075363743,15.37420359,3.014549724,15.60029482
Eswatini,SWZ,Africa,2019,354,396,87,482,832,7449,1169613,30.26642146,33.85735282,7.438357816,41.21021227,71.13464026
Ethiopia,ETH,Africa,2019,9657,43174,1788,67827,77020,347063,114120594,8.462101065,37.83190964,1.566763664,59.43449611,67.49000973
Fiji,FJI,Oceania,2019,331,68,344,302,634,11174,918465,36.03839014,7.403657189,37.45379519,32.8809481,69.02821556
Finland,FIN,Europe,2019,415,1,402,2,417,48634,5521606,7.515929242,0.018110673,7.280490495,0.036221346,7.552150588
France,FRA,Europe,2019,14378,88,4054,37,14334,402771,67388001,21.33614262,0.130587046,6.015907788,0.054905917,21.27084909
Gabon,GAB,Africa,2019,828,192,117,69,895,8831,2242785,36.91838495,8.560784917,5.216728309,3.07653208,39.90574219
Georgia,GEO,Asia,2019,3211,7,1578,1594,4787,69032,3720161,86.31346869,0.188163899,42.41751903,42.84760794,128.6772266
Germany,DEU,Europe,2019,29401,106,8062,30,29252,879851,83092962,35.38326146,0.127567964,9.702386106,0.036104141,35.20394423
Ghana,GHA,Africa,2019,12869,5599,1232,11065,23792,145698,31522290,40.82507965,17.76203442,3.908345491,35.10214518,75.47674994
Greece,GRC,Europe,2019,6226,1,2616,41,6219,118223,10721582,58.06978858,0.009326982,24.39938434,0.382406253,58.00449971
Greenland,GRL,North America,2019,7,0,12,0,7,391,56225,12.44997777,0,21.34281903,0,12.44997777
Grenada,GRD,North America,2019,51,1,11,2,54,787,122724,41.55666373,0.814836544,8.963201982,1.629673088,44.00117336
Guam,GUM,Oceania,2019,31,4,42,5,36,1226,168624,18.38409716,2.372141569,24.90748648,2.965176962,21.34927412
Guatemala,GTM,North America,2019,3789,2027,1031,5296,9065,72155,16604026,22.81976672,12.20788259,6.209337422,31.89587875,54.59519276
Guinea,GIN,Africa,2019,2570,5562,1198,13752,16242,68799,12877539,19.95722941,43.19148247,9.303019777,106.790591,126.1265837
Guinea-Bissau,GNB,Africa,2019,369,1053,143,1639,1998,10013,1970457,18.72662027,53.4393798,7.257199726,83.17867378,101.3977976
Guyana,GUY,South America,2019,411,49,117,55,466,6902,798753,51.4552058,6.134562249,14.64783231,6.885733137,58.34093894
Haiti,HTI,North America,2019,1913,3502,842,12151,14018,85291,11160438,17.14090433,31.37869679,7.544506766,108.8756552,125.6043894
Honduras,HND,North America,2019,1882,779,817,3875,5720,48852,9958829,18.89780415,7.822204799,8.203775765,38.91019717,57.4364717
Hungary,HUN,Europe,2019,7322,59,3600,1347,8617,162490,9771141,74.93495386,0.60381894,36.84318955,13.78549342,88.18826788
Iceland,ISL,Europe,2019,19,0,30,0,19,1598,360563,5.269536808,0,8.320321275,0,5.269536808
India,IND,Asia,2019,1147669,508290,240098,606890,1667331,9986827,1383112050,82.97729746,36.74973405,17.35925878,43.87858525,120.5492353
Indonesia,IDN,Asia,2019,110127,45774,52555,76867,186267,1914553,269582878,40.85088816,16.979565,19.49493246,28.51330937,69.09452165
Iraq,IRQ,Asia,2019,25637,382,6635,64,25626,250157,41563520,61.68149377,0.919075189,15.96351801,0.153981183,61.65502826
Ireland,IRL,Europe,2019,551,1,435,2,552,25504,4934340,11.16664032,0.020266135,8.815768674,0.04053227,11.18690646
Israel,ISR,Asia,2019,2479,13,542,4,2456,37688,9054000,27.38016346,0.143582947,5.986304396,0.044179368,27.1261321
Italy,ITA,Europe,2019,28153,47,8374,121,27902,558249,59729081,47.13449383,0.078688637,14.01997128,0.202581386,46.71426302
Jamaica,JAM,North America,2019,964,32,340,199,1160,19347,2813773,34.2600487,1.137263027,12.08341966,7.072354451,41.22578474
Japan,JPN,Asia,2019,42742,542,16796,95,42565,842925,126633000,33.75265531,0.428008497,13.26352531,0.07501994,33.61288132
Jordan,JOR,Asia,2019,3145,29,1014,2,3131,38837,10698683,29.39614156,0.271061401,9.477802081,0.01869389,29.26528433
Kazakhstan,KAZ,Asia,2019,10704,29,3556,1424,12039,173146,18513673,57.81672821,0.156640986,19.20742578,7.691612572,65.027615
Kenya,KEN,Africa,2019,5738,15405,1832,22109,27739,175566,50951450,11.26170109,30.23466457,3.595579714,43.39228815,54.44202275
Kiribati,KIR,Oceania,2019,20,34,52,133,152,1521,124241,16.09774551,27.36616737,41.85413833,107.0500076,122.3428659
Kuwait,KWT,Asia,2019,1551,2,357,1,1543,13402,4441100,34.92378014,0.045033888,8.038549008,0.022516944,34.74364459
Latvia,LVA,Europe,2019,1131,1,496,104,1234,30631,1913822,59.09640499,0.052251463,25.9167258,5.434152183,64.47830571
Lebanon,LBN,Asia,2019,3389,40,1352,10,3382,45273,5781907,58.61387947,0.691813272,23.38328859,0.172953318,58.49281215
Lesotho,LSO,Africa,2019,884,1218,482,1633,2499,20029,2225702,39.71780589,54.72430721,21.65608873,73.37010975,112.279182
Liberia,LBR,Africa,2019,672,2060,173,2714,3376,19372,4985289,13.47965986,41.32157634,3.470210052,54.44017388,67.71924356
Libya,LBY,Africa,2019,3460,37,1161,8,3445,38115,6569088,52.67093393,0.563244091,17.67368621,0.121782506,52.44259173
Lithuania,LTU,Europe,2019,1280,5,576,61,1340,40225,2794137,45.81020902,0.178946129,20.61459406,2.183142774,47.95756257
Luxembourg,LUX,Europe,2019,103,0,50,0,102,3398,620001,16.61287643,0,8.064503122,0,16.45158637
Madagascar,MDG,Africa,2019,2345,15677,1457,21459,23748,127057,27533134,8.517010813,56.93866888,5.291805866,77.93882091,86.25244042
Malawi,MWI,Africa,2019,1379,6472,696,12379,13717,72259,18867337,7.308927593,34.30266815,3.688914869,65.61074305,72.70236388
Malaysia,MYS,Asia,2019,10888,726,5964,111,10960,168244,32804020,33.19105402,2.213143389,18.18069859,0.338373163,33.41053932
Maldives,MDV,Asia,2019,59,9,46,23,81,1377,504508,11.69456183,1.783916211,9.11779397,4.558896985,16.0552459
Mali,MLI,Africa,2019,3424,11881,1235,22580,25872,102732,20567424,16.64768519,57.76610625,6.004641126,109.7852604,125.791154
Malta,MLT,Europe,2019,163,0,54,0,162,3614,504062,32.33729184,0,10.71296785,0,32.13890355
Marshall Islands,MHL,Oceania,2019,12,4,16,24,36,493,44728,26.82883205,8.942944017,35.77177607,53.6576641,80.48649615
Mauritania,MRT,Africa,2019,1428,1279,211,1208,2628,15573,4383849,32.57411466,29.17527497,4.813121985,27.55569364,59.94732027
Mauritius,MUS,Africa,2019,606,6,393,14,621,13563,1265985,47.86786573,0.473939265,31.04302184,1.105858284,49.05271389
Mexico,MEX,North America,2019,38854,2394,10458,9854,48332,691863,125085311,31.06200056,1.91389379,8.360693927,7.87782348,38.63922919
Moldova,MDA,Europe,2019,2141,5,731,282,2419,49878,2664224,80.36111078,0.187671907,27.43763287,10.58469558,90.79566883
Monaco,MCO,Europe,2019,17,0,7,0,16,385,37034,45.90376411,0,18.90154993,0,43.20354269
Mongolia,MNG,Asia,2019,2266,36,532,1009,3268,30623,3232430,70.10205944,1.113713213,16.45820636,31.21490643,101.1004105
Montenegro,MNE,Europe,2019,571,0,244,168,738,10287,622028,91.79651077,0,39.22653,27.00843049,118.6441768
Morocco,MAR,Africa,2019,27728,959,6616,1679,29249,303235,36304408,76.37640035,2.641552508,18.22368237,4.624782754,80.56597425
Mozambique,MOZ,Africa,2019,1956,7638,1333,25017,26921,131532,30285595,6.458516004,25.21991065,4.40143243,82.60362724,88.89044445
Myanmar,MMR,Asia,2019,26148,5541,10887,49223,74544,488029,53040212,49.29844549,10.44679082,20.52593606,92.80317356,140.5424247
Namibia,NAM,Africa,2019,827,551,228,775,1591,13500,2446644,33.80140306,22.52064461,9.318887423,31.67604278,65.02785039
Nauru,NRU,Oceania,2019,1,0,3,0,2,78,12132,8.242664029,0,24.72799209,0,16.48532806
Nepal,NPL,Asia,2019,23974,4705,4436,21603,42115,205541,28832496,83.1492355,16.31839297,15.3854179,74.9258753,146.0678257
Netherlands,NLD,Europe,2019,4998,10,1799,6,4970,114041,17344874,28.81542985,0.057653921,10.37194044,0.034592353,28.65399887
New Zealand,NZL,Oceania,2019,333,13,347,3,334,24383,4979200,6.687821337,0.261086118,6.968991003,0.060250643,6.707904884
Nicaragua,NIC,North America,2019,1034,136,484,1735,2760,30201,6663924,15.51638344,2.040839601,7.262987993,26.03571109,41.41703897
Niger,NER,Africa,2019,3128,24716,1429,26507,29505,118426,23443393,13.3427785,105.428425,6.095534038,113.0681041,125.8563553
Nigeria,NGA,Africa,2019,70181,157292,9917,128259,197567,912981,203304492,34.52014233,77.36769535,4.87790501,63.08714517,97.17788233
North Macedonia,MKD,Europe,2019,2771,2,890,535,3301,37970,2076694,133.4332357,0.096306919,42.85657877,25.76210072,158.9545691
Northern Mariana Islands,MNP,Oceania,2019,11,1,12,5,17,413,49858,22.06265795,2.005696177,24.06835413,10.02848089,34.09683501
Norway,NOR,Europe,2019,454,8,431,1,454,26992,5347896,8.489319912,0.14959154,8.059244234,0.018698943,8.489319912
Oman,OMN,Asia,2019,1576,21,305,6,1576,14256,4602768,34.24026586,0.456247197,6.62644739,0.130356342,34.24026586
Pakistan,PAK,Asia,2019,124913,65455,30919,116090,235657,1375527,223293280,55.94122671,29.31346613,13.84681169,51.98992106,105.5369871
Palau,PLW,Oceania,2019,5,1,11,0,5,237,17916,27.90801518,5.581603036,61.3976334,0,27.90801518
Panama,PAN,North America,2019,672,111,198,154,823,15185,4232532,15.87702113,2.622543669,4.678050869,3.638484009,19.44462558
Papua New Guinea,PNG,Oceania,2019,1183,2620,2581,11169,12351,66942,9542486,12.39718874,27.45615765,27.04745912,117.0449713,129.4316806
Paraguay,PRY,South America,2019,1099,112,689,1194,2284,32784,6530026,16.8299483,1.715153967,10.55125967,18.2847664,34.97688983
Peru,PER,South America,2019,8997,732,1192,2439,11414,95593,32824861,27.40910312,2.230017059,3.6313939,7.430343726,34.77242447
Philippines,PHL,Asia,2019,32138,6654,21669,42675,74783,661704,110380804,29.11556977,6.028222081,19.63113079,38.66161366,67.75000479
Poland,POL,Europe,2019,28426,76,7774,2808,31119,460603,37965475,74.87328948,0.200181876,20.47649871,7.396193515,81.96657621
Portugal,PRT,Europe,2019,2391,24,1771,34,2411,85563,10286263,23.2445933,0.233320886,17.21713707,0.330537922,23.43902737
Puerto Rico,PRI,North America,2019,434,68,408,1,434,28480,3193694,13.58927937,2.129195847,12.77517508,0.031311704,13.58927937
Qatar,QAT,Asia,2019,548,2,117,0,545,4788,2807235,19.52098773,0.071244481,4.167802126,0,19.41412101
